"GlobalIndex","SliceIndex","ScanIndex","SliceScanCount","Repeat","ScanIndexX","ScanIndexY","RepeatX","RepeatY","AreaX","AreaY","AreaWidth","AreaHeight","Reference1Local","Reference2Local","Reference1Global","Reference2Global","InspectMode","IproiCount","TriggerActive"
"0","0","0","35","5","0","0","5","73","-58712.9194269539","-132680.434638352","3657.68261632","3656.4929485321","5","10","5","10","3","1","True"
"1","0","1","35","5","1","0","5","73","-55353.0898245949","-132680.434638352","3657.68261632","3656.4929485321","6","11","6","11","3","2","True"
"2","0","2","35","5","2","0","5","73","-51993.260222236","-132680.434638352","3657.68261632","3656.4929485321","7","12","7","12","3","2","True"
"3","0","3","35","5","3","0","5","73","-48633.4306198771","-132680.434638352","3657.68261632","3656.4929485321","8","13","8","13","3","2","True"
"4","0","4","35","5","4","0","5","73","-45273.6010175182","-132680.434638352","3657.68261632","3656.4929485321","9","14","9","14","3","3","True"
"5","0","5","35","5","5","0","5","73","-41913.7714151593","-132680.434638352","3657.68261632","3656.4929485321","10","15","10","15","-1","2","False"
"6","0","6","35","5","6","0","5","73","-38553.9418128004","-132680.434638352","3657.68261632","3656.4929485321","11","16","11","16","-1","2","False"
"7","0","7","35","5","7","0","5","73","-35194.1122104414","-132680.434638352","3657.68261632","3656.4929485321","12","17","12","17","-1","2","False"
"8","0","8","35","5","8","0","5","73","-31834.2826080825","-132680.434638352","3657.68261632","3656.4929485321","13","18","13","18","-1","2","False"
"9","0","9","35","5","9","0","5","73","-28474.4530057236","-132680.434638352","3657.68261632","3656.4929485321","14","19","14","19","-1","3","False"
"10","0","10","35","5","10","0","5","73","-25114.6234033647","-132680.434638352","3657.68261632","3656.4929485321","15","20","15","20","-1","2","False"
"11","0","11","35","5","11","0","5","73","-21754.7938010058","-132680.434638352","3657.68261632","3656.4929485321","16","21","16","21","-1","2","False"
"12","0","12","35","5","12","0","5","73","-18394.9641986469","-132680.434638352","3657.68261632","3656.4929485321","17","22","17","22","-1","2","False"
"13","0","13","35","5","13","0","5","73","-15035.1345962879","-132680.434638352","3657.68261632","3656.4929485321","18","23","18","23","-1","2","False"
"14","0","14","35","5","14","0","5","73","-11675.304993929","-132680.434638352","3657.68261632","3656.4929485321","19","24","19","24","-1","3","False"
"15","0","15","35","5","15","0","5","73","-8315.4753915701","-132680.434638352","3657.68261632","3656.4929485321","20","25","20","25","3","2","True"
"16","0","16","35","5","16","0","5","73","-4955.64578921119","-132680.434638352","3657.68261632","3656.4929485321","21","26","21","26","3","2","True"
"17","0","17","35","5","17","0","5","73","-1595.81618685228","-132680.434638352","3657.68261632","3656.4929485321","22","27","22","27","3","2","True"
"18","0","18","35","5","18","0","5","73","1764.01341550665","-132680.434638352","3657.68261632","3656.4929485321","23","28","23","28","3","2","True"
"19","0","19","35","5","19","0","5","73","5123.84301786555","-132680.434638352","3657.68261632","3656.4929485321","24","29","24","29","3","3","True"
"20","0","20","35","5","20","0","5","73","8483.67262022448","-132680.434638352","3657.68261632","3656.4929485321","25","30","25","30","-1","2","False"
"21","0","21","35","5","21","0","5","73","11843.5022225834","-132680.434638352","3657.68261632","3656.4929485321","26","31","26","31","-1","2","False"
"22","0","22","35","5","22","0","5","73","15203.3318249423","-132680.434638352","3657.68261632","3656.4929485321","27","32","27","32","-1","2","False"
"23","0","23","35","5","23","0","5","73","18563.1614273012","-132680.434638352","3657.68261632","3656.4929485321","28","33","28","33","-1","2","False"
"24","0","24","35","5","24","0","5","73","21922.9910296601","-132680.434638352","3657.68261632","3656.4929485321","29","34","29","34","-1","3","False"
"25","0","25","35","5","25","0","5","73","25282.8206320191","-132680.434638352","3657.68261632","3656.4929485321","15","20","15","20","-1","2","False"
"26","0","26","35","5","26","0","5","73","28642.650234378","-132680.434638352","3657.68261632","3656.4929485321","16","21","16","21","-1","2","False"
"27","0","27","35","5","27","0","5","73","32002.4798367369","-132680.434638352","3657.68261632","3656.4929485321","17","22","17","22","-1","2","False"
"28","0","28","35","5","28","0","5","73","35362.3094390958","-132680.434638352","3657.68261632","3656.4929485321","18","23","18","23","-1","2","False"
"29","0","29","35","5","29","0","5","73","38722.1390414547","-132680.434638352","3657.68261632","3656.4929485321","19","24","19","24","-1","3","False"
"30","0","30","35","5","30","0","5","73","42081.9686438136","-132680.434638352","3657.68261632","3656.4929485321","20","25","20","25","0","2","True"
"31","0","31","35","5","31","0","5","73","45441.7982461726","-132680.434638352","3657.68261632","3656.4929485321","21","26","21","26","0","2","True"
"32","0","32","35","5","32","0","5","73","48801.6278485315","-132680.434638352","3657.68261632","3656.4929485321","22","27","22","27","0","2","True"
"33","0","33","35","5","33","0","5","73","52161.4574508904","-132680.434638352","3657.68261632","3656.4929485321","23","28","23","28","0","2","True"
"34","0","34","35","5","34","0","5","73","55521.2870532493","-132680.434638352","3657.68261632","3656.4929485321","24","29","24","29","0","2","True"
"35","1","0","35","5","34","1","5","73","55521.2870532493","-129056.197577805","3657.68261632","3656.4929485321","5","10","40","45","3","2","True"
"36","1","1","35","5","33","1","5","73","52161.4574508904","-129056.197577805","3657.68261632","3656.4929485321","6","11","41","46","3","3","True"
"37","1","2","35","5","32","1","5","73","48801.6278485315","-129056.197577805","3657.68261632","3656.4929485321","7","12","42","47","3","3","True"
"38","1","3","35","5","31","1","5","73","45441.7982461726","-129056.197577805","3657.68261632","3656.4929485321","8","13","43","48","3","3","True"
"39","1","4","35","5","30","1","5","73","42081.9686438136","-129056.197577805","3657.68261632","3656.4929485321","9","14","44","49","3","3","True"
"40","1","5","35","5","29","1","5","73","38722.1390414547","-129056.197577805","3657.68261632","3656.4929485321","10","15","45","50","-1","4","False"
"41","1","6","35","5","28","1","5","73","35362.3094390958","-129056.197577805","3657.68261632","3656.4929485321","11","16","46","51","-1","3","False"
