"GlobalIndex","SliceIndex","ScanIndex","SliceScanCount","Repeat","ScanIndexX","ScanIndexY","RepeatX","RepeatY","AreaX","AreaY","AreaWidth","AreaHeight","Reference1Local","Reference2Local","Reference1Global","Reference2Global","InspectMode","IproiCount","TriggerActive"
"0","0","0","15","5","0","0","5","78","-25114.6223078132","-142480.498725266","3657.68261632","3656.4929485321","5","10","5","10","3","1","True"
"1","0","1","15","5","1","0","5","78","-21754.7927054543","-142480.498725266","3657.68261632","3656.4929485321","6","11","6","11","3","2","True"
"2","0","2","15","5","2","0","5","78","-18394.9631030954","-142480.498725266","3657.68261632","3656.4929485321","7","12","7","12","3","2","True"
"3","0","3","15","5","3","0","5","78","-15035.1335007365","-142480.498725266","3657.68261632","3656.4929485321","8","13","8","13","3","2","True"
"4","0","4","15","5","4","0","5","78","-11675.3038983776","-142480.498725266","3657.68261632","3656.4929485321","9","14","9","14","3","3","True"
"5","0","5","15","5","5","0","5","78","-8315.47429601865","-142480.498725266","3657.68261632","3656.4929485321","0","10","0","10","-1","2","False"
"6","0","6","15","5","6","0","5","78","-4955.64469365973","-142480.498725266","3657.68261632","3656.4929485321","1","11","1","11","-1","2","False"
"7","0","7","15","5","7","0","5","78","-1595.81509130082","-142480.498725266","3657.68261632","3656.4929485321","2","12","2","12","-1","2","False"
"8","0","8","15","5","8","0","5","78","1764.01451105811","-142480.498725266","3657.68261632","3656.4929485321","3","13","3","13","-1","2","False"
"9","0","9","15","5","9","0","5","78","5123.84411341702","-142480.498725266","3657.68261632","3656.4929485321","4","14","4","14","-1","3","False"
"10","0","10","15","5","10","0","5","78","8483.67371577594","-142480.498725266","3657.68261632","3656.4929485321","0","5","0","5","-1","2","False"
"11","0","11","15","5","11","0","5","78","11843.5033181348","-142480.498725266","3657.68261632","3656.4929485321","1","6","1","6","-1","2","False"
"12","0","12","15","5","12","0","5","78","15203.3329204938","-142480.498725266","3657.68261632","3656.4929485321","2","7","2","7","-1","2","False"
"13","0","13","15","5","13","0","5","78","18563.1625228527","-142480.498725266","3657.68261632","3656.4929485321","3","8","3","8","-1","2","False"
"14","0","14","15","5","14","0","5","78","21922.9921252116","-142480.498725266","3657.68261632","3656.4929485321","4","9","4","9","-1","2","False"
"15","1","0","15","5","14","1","5","78","21922.9921252116","-138837.050849289","3657.68261632","3656.4929485321","5","10","20","25","3","2","True"
"16","1","1","15","5","13","1","5","78","18563.1625228527","-138837.050849289","3657.68261632","3656.4929485321","6","11","21","26","3","3","True"
"17","1","2","15","5","12","1","5","78","15203.3329204938","-138837.050849289","3657.68261632","3656.4929485321","7","12","22","27","3","3","True"
"18","1","3","15","5","11","1","5","78","11843.5033181348","-138837.050849289","3657.68261632","3656.4929485321","8","13","23","28","3","3","True"
"19","1","4","15","5","10","1","5","78","8483.67371577594","-138837.050849289","3657.68261632","3656.4929485321","9","14","24","29","3","3","True"
"20","1","5","15","5","9","1","5","78","5123.84411341702","-138837.050849289","3657.68261632","3656.4929485321","0","10","15","25","-1","4","False"
"21","1","6","15","5","8","1","5","78","1764.01451105811","-138837.050849289","3657.68261632","3656.4929485321","1","11","16","26","-1","3","False"
"22","1","7","15","5","7","1","5","78","-1595.81509130082","-138837.050849289","3657.68261632","3656.4929485321","2","12","17","27","-1","3","False"
"23","1","8","15","5","6","1","5","78","-4955.64469365973","-138837.050849289","3657.68261632","3656.4929485321","3","13","18","28","-1","3","False"
"24","1","9","15","5","5","1","5","78","-8315.47429601865","-138837.050849289","3657.68261632","3656.4929485321","4","14","19","29","-1","3","False"
"25","1","10","15","5","4","1","5","78","-11675.3038983776","-138837.050849289","3657.68261632","3656.4929485321","0","5","15","20","-1","4","False"
"26","1","11","15","5","3","1","5","78","-15035.1335007365","-138837.050849289","3657.68261632","3656.4929485321","1","6","16","21","-1","3","False"
"27","1","12","15","5","2","1","5","78","-18394.9631030954","-138837.050849289","3657.68261632","3656.4929485321","2","7","17","22","-1","3","False"
"28","1","13","15","5","1","1","5","78","-21754.7927054543","-138837.050849289","3657.68261632","3656.4929485321","3","8","18","23","-1","3","False"
"29","1","14","15","5","0","1","5","78","-25114.6223078132","-138837.050849289","3657.68261632","3656.4929485321","4","9","19","24","-1","3","False"
"30","2","0","35","5","0","2","5","78","-58712.9194269539","-135193.602973312","3657.68261632","3656.4929485321","5","10","35","40","3","1","True"
"31","2","1","35","5","1","2","5","78","-55353.0898245949","-135193.602973312","3657.68261632","3656.4929485321","6","11","36","41","3","2","True"
"32","2","2","35","5","2","2","5","78","-51993.260222236","-135193.602973312","3657.68261632","3656.4929485321","7","12","37","42","3","2","True"
"33","2","3","35","5","3","2","5","78","-48633.4306198771","-135193.602973312","3657.68261632","3656.4929485321","8","13","38","43","3","2","True"
"34","2","4","35","5","4","2","5","78","-45273.6010175182","-135193.602973312","3657.68261632","3656.4929485321","9","14","39","44","3","3","True"
"35","2","5","35","5","5","2","5","78","-41913.7714151593","-135193.602973312","3657.68261632","3656.4929485321","10","15","40","45","-1","2","False"
"36","2","6","35","5","6","2","5","78","-38553.9418128004","-135193.602973312","3657.68261632","3656.4929485321","11","16","41","46","-1","2","False"
"37","2","7","35","5","7","2","5","78","-35194.1122104414","-135193.602973312","3657.68261632","3656.4929485321","12","17","42","47","-1","2","False"
"38","2","8","35","5","8","2","5","78","-31834.2826080825","-135193.602973312","3657.68261632","3656.4929485321","13","18","43","48","-1","2","False"
"39","2","9","35","5","9","2","5","78","-28474.4530057236","-135193.602973312","3657.68261632","3656.4929485321","14","19","44","49","-1","5","False"
"40","2","10","35","5","10","2","5","78","-25114.6234033647","-135193.602973312","3657.68261632","3656.4929485321","15","20","45","50","-1","4","False"
"41","2","11","35","5","11","2","5","78","-21754.7938010058","-135193.602973312","3657.68261632","3656.4929485321","16","21","46","51","-1","4","False"
"42","2","12","35","5","12","2","5","78","-18394.9641986469","-135193.602973312","3657.68261632","3656.4929485321","17","22","47","52","-1","4","False"
"43","2","13","35","5","13","2","5","78","-15035.1345962879","-135193.602973312","3657.68261632","3656.4929485321","18","23","48","53","-1","4","False"
"44","2","14","35","5","14","2","5","78","-11675.304993929","-135193.602973312","3657.68261632","3656.4929485321","19","24","49","54","-1","6","False"
"45","2","15","35","5","15","2","5","78","-8315.4753915701","-135193.602973312","3657.68261632","3656.4929485321","20","25","50","55","3","4","True"
"46","2","16","35","5","16","2","5","78","-4955.64578921119","-135193.602973312","3657.68261632","3656.4929485321","21","26","51","56","3","4","True"
"47","2","17","35","5","17","2","5","78","-1595.81618685228","-135193.602973312","3657.68261632","3656.4929485321","22","27","52","57","3","4","True"
"48","2","18","35","5","18","2","5","78","1764.01341550665","-135193.602973312","3657.68261632","3656.4929485321","23","28","53","58","3","4","True"
"49","2","19","35","5","19","2","5","78","5123.84301786555","-135193.602973312","3657.68261632","3656.4929485321","24","29","54","59","3","6","True"
"50","2","20","35","5","20","2","5","78","8483.67262022448","-135193.602973312","3657.68261632","3656.4929485321","25","30","55","60","-1","4","False"
"51","2","21","35","5","21","2","5","78","11843.5022225834","-135193.602973312","3657.68261632","3656.4929485321","26","31","56","61","-1","4","False"
"52","2","22","35","5","22","2","5","78","15203.3318249423","-135193.602973312","3657.68261632","3656.4929485321","27","32","57","62","-1","4","False"
"53","2","23","35","5","23","2","5","78","18563.1614273012","-135193.602973312","3657.68261632","3656.4929485321","28","33","58","63","-1","4","False"
"54","2","24","35","5","24","2","5","78","21922.9910296601","-135193.602973312","3657.68261632","3656.4929485321","29","34","59","64","-1","5","False"
"55","2","25","35","5","25","2","5","78","25282.8206320191","-135193.602973312","3657.68261632","3656.4929485321","15","20","45","50","-1","3","False"
"56","2","26","35","5","26","2","5","78","28642.650234378","-135193.602973312","3657.68261632","3656.4929485321","16","21","46","51","-1","2","False"
"57","2","27","35","5","27","2","5","78","32002.4798367369","-135193.602973312","3657.68261632","3656.4929485321","17","22","47","52","-1","2","False"
"58","2","28","35","5","28","2","5","78","35362.3094390958","-135193.602973312","3657.68261632","3656.4929485321","18","23","48","53","-1","2","False"
"59","2","29","35","5","29","2","5","78","38722.1390414547","-135193.602973312","3657.68261632","3656.4929485321","19","24","49","54","-1","3","False"
"60","2","30","35","5","30","2","5","78","42081.9686438136","-135193.602973312","3657.68261632","3656.4929485321","20","25","50","55","0","2","True"
"61","2","31","35","5","31","2","5","78","45441.7982461726","-135193.602973312","3657.68261632","3656.4929485321","21","26","51","56","0","2","True"
"62","2","32","35","5","32","2","5","78","48801.6278485315","-135193.602973312","3657.68261632","3656.4929485321","22","27","52","57","0","2","True"
