"GlobalIndex","OldRef1","NewRef1","OldRef2","NewRef2","OldMode","NewMode","OldActive","NewActive"
"2698","2688","2688","2693","2693","0","-1","False","False"
"253","243","243","248","248","0","-1","False","False"
"474","464","464","469","469","0","-1","False","False"
"307","297","297","302","302","0","-1","False","False"
"1930","1920","1920","1925","1925","0","-1","False","False"
"4662","4652","4652","4657","4657","0","-1","False","False"
"363","353","353","358","358","0","-1","False","False"
"4553","4543","4543","4548","4548","0","-1","False","False"
"4719","4709","4709","4714","4714","0","-1","False","False"
"2356","2346","2346","2351","2351","0","-1","False","False"
"4609","4599","4599","4604","4604","0","-1","False","False"
"4663","4653","4653","4658","4658","0","-1","False","False"
"2018","2008","2008","2013","2013","0","-1","False","False"
"1931","1921","1921","1926","1926","0","-1","False","False"
"417","407","407","412","412","0","-1","False","False"
"2526","2516","2516","2521","2521","0","-1","False","False"
"4104","4099","4099","4094","4094","0","-1","False","False"
"2104","2094","2094","2099","2099","0","-1","False","False"
"2101","2091","2091","2096","2096","0","-1","False","False"
"3037","3027","3027","3032","3032","0","-1","False","False"
"2187","2177","2177","2182","2182","0","-1","False","False"
"3121","3111","3111","3116","3116","0","-1","False","False"
"1933","1923","1923","1928","1928","0","-1","False","False"
"4771","4761","4761","4766","4766","0","-1","False","False"
"415","405","405","410","410","0","-1","False","False"
"472","462","462","467","467","0","-1","False","False"
"254","244","244","249","249","0","-1","False","False"
"2015","2005","2005","2010","2010","0","-1","False","False"
"2782","2772","2772","2777","2777","0","-1","False","False"
"2780","2770","2770","2775","2775","0","-1","False","False"
"250","240","240","245","245","0","-1","False","False"
"2017","2007","2007","2012","2012","0","-1","False","False"
"308","298","298","303","303","0","-1","False","False"
"3039","3029","3029","3034","3034","0","-1","False","False"
"2869","2859","2859","2864","2864","0","-1","False","False"
"2274","2264","2264","2269","2269","0","-1","False","False"
"4661","4651","4651","4656","4656","0","-1","False","False"
"2699","2689","2689","2694","2694","0","-1","False","False"
"4664","4654","4654","4659","4659","0","-1","False","False"
"361","351","351","356","356","0","-1","False","False"
"4605","4595","4595","4600","4600","0","-1","False","False"
"2103","2093","2093","2098","2098","0","-1","False","False"
"3035","3025","3025","3030","3030","0","-1","False","False"
"2100","2090","2090","2095","2095","0","-1","False","False"
"2697","2687","2687","2692","2692","0","-1","False","False"
"2614","2604","2604","2609","2609","0","-1","False","False"
"2188","2178","2178","2183","2183","0","-1","False","False"
"2865","2855","2855","2860","2860","0","-1","False","False"
"4717","4707","4707","4712","4712","0","-1","False","False"
"2358","2348","2348","2353","2353","0","-1","False","False"
"470","460","460","465","465","0","-1","False","False"
"2612","2602","2602","2607","2607","0","-1","False","False"
"2695","2685","2685","2690","2690","0","-1","False","False"
"2019","2009","2009","2014","2014","0","-1","False","False"
"2528","2518","2518","2523","2523","0","-1","False","False"
"4550","4540","4540","4545","4545","0","-1","False","False"
"2442","2432","2432","2437","2437","0","-1","False","False"
"4715","4705","4705","4710","4710","0","-1","False","False"
"306","296","296","301","301","0","-1","False","False"
"2950","2940","2940","2945","2945","0","-1","False","False"
"2272","2262","2262","2267","2267","0","-1","False","False"
"2444","2434","2434","2439","2439","0","-1","False","False"
"4774","4764","4764","4769","4769","0","-1","False","False"
"2529","2519","2519","2524","2524","0","-1","False","False"
"2866","2856","2856","2861","2861","0","-1","False","False"
"2440","2430","2430","2435","2435","0","-1","False","False"
"3122","3112","3112","3117","3117","0","-1","False","False"
"418","408","408","413","413","0","-1","False","False"
"252","242","242","247","247","0","-1","False","False"
"2868","2858","2858","2863","2863","0","-1","False","False"
"2525","2515","2515","2520","2520","0","-1","False","False"
"2783","2773","2773","2778","2778","0","-1","False","False"
"251","241","241","246","246","0","-1","False","False"
"2186","2176","2176","2181","2181","0","-1","False","False"
"2781","2771","2771","2776","2776","0","-1","False","False"
"3124","3114","3114","3119","3119","0","-1","False","False"
"2610","2600","2600","2605","2605","0","-1","False","False"
"4718","4708","4708","4713","4713","0","-1","False","False"
"362","352","352","357","357","0","-1","False","False"
"2357","2347","2347","2352","2352","0","-1","False","False"
"473","463","463","468","468","0","-1","False","False"
